Years,Napoli,Juventus,Roma,Inter,Lazio,Milan,Fiorentina,Udinese,Bologna,Cagliari,Genoa
11,10,5,13,6,5,6,4,7,4,2,3 
12,9,4,4,11,7,10,8,5,3,6,6
13,11,11,7,5,9,11,10,6,5,10,4
14,9,4,6,1,8,5,12,8,6,8,9
15,9,9,7,7,5,11,7,1,0,7,7
16,8,9,4,3,11,7,9,4,3,0,4
17,8,3,14,5,14,12,10,3,2,6,3
18,8,8,6,7,11,6,8,7,3,5,5 
19,4,8,6,9,6,4,6,8,5,3,5
20,5,14,14,11,18,9,11,0,6,6,16
21,18,10,8,9,10,20,6,4,4,5,3
22,13,6,8,11,9,8,12,4,5,4,7
